rec_id,culture,given_name,surname,date_of_birth,phone_number,national_identifier,medical_record_number,sex
rec-85-org,uga,kyaritunga,niwabine,,752826139,56898131,RUK-356058,f
rec-86-org,uga,seline,nsima,19300910,712203224,51037266,MPK-699445,f
rec-87-org,uga,caitlin,twinomuhangi,19570504,782885273,50983549,KSG-571965,
rec-88-org,uga,kanyama,gayita,19820919,782351719,45501162,NSU-638780,f
rec-89-org,uga,flo,musebimana,19140818,752145985,41752435,RUK-828256,f
rec-90-org,uga,ruben,kabasinde,19850717,752793253,22331683,KUL-483184,
rec-91-org,uga,jesika,katalemwa,19590515,712959565,52883770,KMC-280573,f
rec-92-org,uga,jasper,orimwikiriza,,774473359,39174522,RUK-473055,
rec-93-org,uga,diana,zemeii,19070608,774903186,87396127,FPL-196802,f
rec-94-org,uga,delish,opio,19450806,782200538,55292370,NSU-602352,f
rec-95-org,uga,musaizi,atuhetrie,19780209,712917316,83001374,KLH-942189,m
rec-96-org,uga,recheal,masasi,19451025,752274010,63298762,RUK-126102,f
rec-97-org,uga,daphne,otim,19140426,782346239,46542014,FPL-711594,f
rec-98-org,uga,leomera,ngamize,19270713,772959744,87718541,KLH-850081,f
rec-99-org,uga,zachary,bukirwa,,774277163,71646907,KLH-940876,
rec-100-org,uga,kabuleeta,kawalya,19880215,772900259,92274946,FPL-192417,f
rec-101-org,uga,contance,nuwasingura,,,68113574,KSD-283518,f
rec-102-org,uga,clemmy,kyompeire,19020622,712491287,52610253,NSU-330090,f
rec-103-org,uga,grace,,19960822,712853329,16842737,KUL-948538,f
rec-104-org,uga,kate,kaale,,712555533,74407885,KUB-238517,
rec-105-org,uga,gaudensia,talimwete,19860418,782366919,72117222,FPL-918043,f
rec-106-org,uga,alikiriza,naluwama,19811008,774323007,59998043,KMC-270092,f
rec-107-org,uga,nelly,lwanja,19910102,782406168,56164952,MPK-412816,f
rec-108-org,uga,mwanguhya,kasirye,,772807196,48398706,KSD-109753,f
rec-109-org,uga,amy,lameka,19460103,,50859446,KUL-815364,
rec-110-org,uga,regina,kamuge,19250430,712693114,41251001,KUL-577170,f
rec-111-org,uga,maryce,obuin,19840330,712723999,42705554,KLH-111986,f
rec-112-org,uga,mallory,felex,19060329,752266159,75964157,KMC-467347,f
rec-113-org,uga,vicentina,ssebaduka,19530525,772821279,42347574,KLH-782131,f
rec-114-org,uga,matthew,medrine,19210117,774597941,92444752,KUB-239471,
rec-115-org,uga,alisha,chebet,19380715,774044554,14920055,MPK-454665,
rec-116-org,uga,jessica,mudathil,19140323,752383323,40162228,KUB-320803,
rec-117-org,uga,hildah,nabasumba,19210629,712753216,10415713,KUB-974756,f
rec-118-org,uga,ushitinah,chelangat,19760126,774658450,73699689,KLH-733047,f
rec-119-org,uga,royal,kamusime,19360503,782490010,33234457,KLH-662935,f
rec-120-org,uga,nzewa,osinde,,772493904,46085813,KUL-643341,f
rec-121-org,uga,lamula,ndashimye,19070416,712138017,33465581,KSG-326246,f
rec-122-org,uga,nassan,nampwera,19011231,712499341,18757399,KUL-405559,m
rec-123-org,uga,wemigisha,adrama,19751229,712965140,42222531,MPK-623105,f
rec-124-org,uga,isabella,maudio,19430516,,52605705,KUB-918970,
rec-125-org,uga,kanyama,wandiembe,19820821,774061813,19384086,MBA-310511,f
rec-126-org,uga,harrison,acero,19070513,774576939,36910507,MBA-782886,
rec-127-org,uga,shamila,mulamuzi,19120910,712965795,78787686,KSG-831953,f
rec-128-org,uga,crovis,ichula,19520516,752645742,32341130,RUK-633290,m
rec-129-org,uga,sarah,ndyareeba,19470811,772362316,59151494,FPL-427430,
rec-130-org,uga,bakeihahwenki,kasangaki,19021129,772928823,20482855,KUL-690080,f
rec-131-org,uga,evase,perina,19311228,772181977,16868310,KUL-859283,f
rec-132-org,uga,gerald,habimana,19481107,774262115,79027908,MPK-923738,m
rec-133-org,uga,pauline,gafabusa,19120619,752527689,37137531,MPK-706350,f
rec-134-org,uga,evaristo,tooro,19460429,774293963,76175624,KLH-425061,f
rec-135-org,uga,connor,musaasira,19881210,,78496346,MBA-472638,
rec-136-org,uga,penninah,jasper,19480131,712897866,20894139,KUL-704253,f
rec-137-org,uga,samuel,nalongo,19301005,752065087,97102674,KSG-422269,
rec-138-org,uga,kagoro,wamamela,19631109,772359768,28072902,KSD-406921,f
rec-139-org,uga,pettuah,ihangwe,19710410,752408472,85377787,FPL-460812,f
rec-140-org,uga,mario,nanyozi,19220423,772188811,33955955,MBA-627989,m
rec-141-org,uga,tiarna,nerisi,19750226,,61672722,NSU-863987,
rec-142-org,uga,byarugaba,odok,19120312,774335346,87738116,NSU-121820,f
rec-143-org,uga,sasiraabo,namadega,19060417,712508275,78655546,KUL-973412,m
rec-144-org,uga,jadress,midius,,712688045,54628285,KSD-346145,f
rec-145-org,uga,fortunate,lameck,19430614,752966387,64397390,MBA-719597,f
rec-146-org,uga,polycarp,kia,19360821,712229625,74540154,NSU-524216,m
rec-147-org,uga,avuri,jibril,19701209,712941541,11875806,KSD-389053,f
rec-148-org,uga,cleodhina,nduko,,782160040,89016263,MBA-513083,f
rec-149-org,uga,madeleine,okullu,19560113,772059130,13787451,MPK-645502,
rec-150-org,uga,aiden,adoi,19260213,772890534,83866505,KSD-143838,
rec-151-org,uga,federes,ssemaganda,19390710,752508126,13091537,KLH-890468,m
rec-152-org,uga,lucas,wobusobozi,19311002,772432687,69537598,KUL-402962,
rec-153-org,uga,kabonesa,kitalibara,19750624,772558672,37712952,KSD-808208,f
rec-154-org,uga,jaggah,siwunwa,19920730,752435869,32791495,KMC-505250,
rec-155-org,uga,angellameris,muliika,19370906,774294306,41863280,MBA-590284,f
rec-156-org,uga,nabukenya,magemo,19031213,752762942,35426941,KSD-689037,f
rec-157-org,uga,zuwena,akandinda,19921015,774031213,71232036,KSG-540913,f
rec-158-org,uga,angellameris,wogozi,19321006,752813183,60733682,KLH-366282,f
rec-159-org,uga,saidi,saverina,19300317,772324529,30345599,FPL-312237,f
rec-160-org,uga,morine,nyafwono,19210531,782445986,28073959,KUB-205653,f
rec-161-org,uga,yahaya,namulemeri,19400601,772850939,10198014,KUB-227632,f
rec-162-org,uga,ambrose,byomugisha,19551207,,27508464,KSD-770752,f
rec-163-org,uga,difasi,amedio,19710625,774709778,72672803,KSG-513790,m
rec-164-org,uga,reuben,nsubuga,19410526,712657168,91732833,KSG-364341,m
rec-165-org,uga,ritah,mwebembezi,19790628,782020039,41424522,MBA-931614,f
rec-166-org,uga,stephanie,rugonza,,712279561,77366084,MBA-425819,
rec-167-org,uga,addah,ariyo,19801110,772019215,39384858,MBA-303461,f
rec-168-org,uga,angellina,jeninah,19800909,774858533,78463732,MBA-714212,f
rec-169-org,uga,ruby,kahinga,19940421,712875694,31432024,KUB-188465,
rec-170-org,uga,benardeta,anderu,19320417,774147369,68427015,FPL-306360,f
rec-171-org,uga,evaristo,ariokot,19230102,782602450,64917735,MPK-926079,f
rec-172-org,uga,margreth,kisambu,19650115,,17684891,KUB-837837,f
rec-173-org,uga,alikangel,biroma,19310113,782501729,94272652,KSG-722565,f
rec-174-org,uga,pauline,atusime,19220528,752617321,39867939,KSD-659824,f
rec-175-org,uga,juliet,kyogabirwe,19950831,772540214,97395792,NSU-823844,f
rec-176-org,uga,geofrey,olima,19660517,772928839,93578702,NSU-541121,m
rec-177-org,uga,sticka,buttee,19820124,782563946,11470845,KMC-104193,f
rec-178-org,uga,ismail,niwanyine,19780714,774086035,39934079,KLH-690046,f
rec-179-org,uga,baguma,jezure,19140210,752653858,81900670,KSG-912823,m
rec-180-org,uga,rugorora,kabadooka,19201222,712922542,49383782,KSG-246737,f
rec-181-org,uga,nabitosi,kabuya,19701206,772176748,42658116,NSU-958008,m
rec-182-org,uga,tukamuhabwa,behangana,19310520,772243510,24190082,NSU-278799,f
rec-183-org,uga,jacinta,karoli,19830925,772893839,39478355,KSG-962456,f
rec-184-org,uga,consolate,kasakye,19350627,772396789,34404709,RUK-540201,f
rec-185-org,uga,iaa,nankabirwa,19090527,,79066266,KSG-863539,f
rec-186-org,uga,jesipa,tambi,,774087912,70789828,MPK-172288,f
rec-187-org,uga,brooke,obal,19890418,752632769,67903201,KUL-821372,
rec-188-org,uga,macklin,musabali,19971123,752627858,39259033,MPK-639400,m
rec-189-org,uga,edinan,acelun,19900612,752609558,68167015,MPK-681958,f
rec-190-org,uga,zimonia,rutaro,19140111,774472630,70353609,RUK-640984,f
rec-191-org,uga,vianne,kawa,19060820,772491501,39014640,FPL-841013,f
rec-192-org,uga,magiri,ggoli,19121227,782608246,67513874,MPK-646767,m
rec-193-org,uga,sunday,leah,19390405,752859861,96129486,MPK-989387,f
rec-194-org,uga,henry,tibaryebwa,,774901295,95542176,KSD-408350,m
rec-195-org,uga,matyasi,namuyiga,19211004,782328466,16069665,NSU-128252,m
rec-196-org,uga,rourke,tibingyemwa,19040516,752452624,68397283,KUL-889346,
rec-197-org,uga,anatoli,hussien,19840112,772107524,11500459,KSD-773593,m
rec-198-org,uga,dezi,wycliff,19150407,774435866,11691334,MPK-512069,f
rec-199-org,uga,miria,abidrabo,19461222,712886066,44567664,NSU-845881,f
rec-200-org,uga,leonia,omutya,19110624,752781885,22494431,FPL-558361,f
rec-201-org,uga,santrina,rutemba,19191017,774201256,38829864,MPK-313335,f
rec-202-org,uga,nicholas,basaba,,752570931,20703914,KSG-900014,m
rec-203-org,uga,turyamureba,mukanoheri,19301211,,38220780,KMC-743264,f
rec-204-org,uga,,kamate,19420305,774997913,21730558,KMC-967369,
rec-205-org,uga,harvey,chemoit,19670927,772404590,50771467,RUK-721815,
rec-206-org,uga,manjeri,lwekunda,19680908,712079455,87380336,KSD-644214,f
rec-207-org,uga,adra,nkajja,19330523,782928811,15201875,FPL-575837,f
rec-208-org,uga,amuso,aoro,19910511,774415488,39942255,MBA-696704,m
rec-209-org,uga,lucky,silivest,19130703,782937220,23087124,FPL-225971,f
rec-210-org,uga,faima,wandabwa,19650525,782424738,65440816,KUL-741669,f
rec-211-org,uga,tukamuhabwa,mbulankende,19091224,752082502,37295289,MPK-337438,f
rec-212-org,uga,byooma,wanyana,19730616,774612765,67537170,FPL-860521,f
rec-213-org,uga,tarsila,amniyo,19630630,772871004,69089030,KMC-249006,f
rec-214-org,uga,nazziwa,kakyomya,19770811,782675510,87731205,MBA-772163,f
rec-215-org,uga,chloe,katwesiime,19880609,774187402,98291975,KLH-624079,
rec-216-org,uga,immaculate,edredah,19160614,774881146,28344816,KMC-563437,f
rec-217-org,uga,swabrah,kirimbwa,19350924,774179682,60634319,MPK-183630,f
rec-218-org,uga,agatha,medius,19270609,752638305,26271893,FPL-651459,f
rec-219-org,uga,mourine,akwayo,19441114,752038865,31779983,KUB-108760,f
rec-220-org,uga,jolly,aanyu,19401028,772168738,75081820,MBA-343629,f
rec-221-org,uga,osiet,asalu,,772056864,67740896,KLH-293564,m
rec-222-org,uga,fransica,atwijuka,19460820,774531876,29619626,RUK-157992,f
rec-223-org,uga,turihabwe,kagunda,19930831,,58440682,KUL-872817,f
rec-224-org,uga,hasifa,namusooke,19800626,772511705,20687531,MBA-383324,m
rec-225-org,uga,nagayi,nomugisha,19930707,782742996,21899429,KUB-856846,f
rec-226-org,uga,pasca,sabano,19301215,752694665,32942020,KUL-693492,f
rec-227-org,uga,zubeda,valeria,19310127,752800943,77424626,KMC-820235,f
rec-228-org,uga,eunice,efiyo,19630615,752108873,94777656,MBA-739866,f
rec-229-org,uga,masika,mafabi,19250202,752662030,63359743,MPK-304274,f
rec-230-org,uga,jasita,ekikyo,19491007,782873916,34489614,MBA-191915,f
rec-231-org,uga,yekonia,bakurinya,19401203,712705539,17741833,KUL-126574,f
rec-232-org,uga,alfred,harrison,19850606,782348189,71413502,MBA-325668,m
rec-233-org,uga,jenn,agwer,19370117,774452070,88777265,RUK-764243,f
rec-234-org,uga,charlotte,namugya,19860111,782160739,84150446,RUK-707955,
rec-235-org,uga,beebwa,nguma,19320827,774066264,61039378,MPK-536929,f
rec-236-org,uga,seleusi,achobo,19380422,,48566998,MPK-670685,f
rec-237-org,uga,theresa,mutyaba,19911119,752478275,46812547,KSD-124187,f
rec-238-org,uga,sylvia,kedi,,752636054,68859303,KSD-127563,f
rec-239-org,uga,syliveria,sirwamakya,19880630,772032350,10536471,KSG-721480,f
rec-240-org,uga,helena,ampeire,19320930,772269819,90363557,KSD-845653,f
rec-241-org,uga,dora,satarday,19560324,782184904,30953129,KMC-187551,f
rec-242-org,uga,tadeo,inacan,19060526,782874946,28355081,KSG-658740,m
rec-243-org,uga,pontious,nalujja,19071214,752013910,51064414,KLH-373129,m
rec-244-org,uga,simphrosa,fedeliko,19420222,774922219,85771035,KMC-618775,f
rec-245-org,uga,frasica,niwomugisha,,774312519,40687084,FPL-103363,f
rec-246-org,uga,helen,bukosera,19280727,772431655,95108909,FPL-429015,f
rec-247-org,uga,mikayla,tibikoma,19060629,752083890,34907365,MPK-438236,
rec-248-org,uga,jacob,tweshengereze,19320417,752684181,26098044,KUB-409372,
rec-249-org,uga,budesta,venansio,19110325,782480617,16216286,MBA-292343,f
rec-250-org,uga,mudesita,quresi,,782843234,50517511,KMC-468861,m
rec-251-org,uga,ainebyona,namansa,19690606,,63068218,KMC-778375,f
rec-252-org,uga,dedan,tikasimire,19620226,772528110,83840844,KMC-882650,m
rec-253-org,uga,harry,abomugisha,19950807,712650912,58213298,KSD-814999,
rec-254-org,uga,janifer,sukuku,19520321,752143395,25504176,FPL-107469,f
rec-255-org,uga,cooper,nabakanuka,19310930,712216494,11272298,MBA-261791,
rec-256-org,uga,deodanta,iseroy,19480124,752962061,24980686,NSU-542319,f
rec-257-org,uga,riley,apophia,19040602,772773829,70328813,KUB-369366,
rec-258-org,uga,pinet,nakawuki,19350717,712175222,39164695,RUK-623067,f
rec-259-org,uga,busingye,mpungu,19001225,752286490,84821877,MPK-908356,m
rec-260-org,uga,paula,bamoreke,19740823,712869200,39848382,FPL-231271,f
rec-261-org,uga,proscovia,owamazima,19470920,774804028,92904033,KUL-479968,f
rec-262-org,uga,taylah,nduko,19400321,772689555,96742667,FPL-479425,
rec-263-org,uga,claudia,kademe,19360811,774489829,93590362,KSD-118693,
rec-264-org,uga,florence,birungi,19530227,774762397,42216566,MPK-868246,f
rec-265-org,uga,fashiru,nyakahuma,19261125,774398251,60327871,KSG-579842,f
rec-266-org,uga,kemigabo,kyamuhangi,19931211,752402719,28961095,KSG-298974,f
rec-267-org,uga,maurine,amajo,19590202,774538378,63153749,MPK-570352,f
rec-268-org,uga,emma,asima,19000110,774227557,39337414,KSD-828392,
rec-269-org,uga,kaleveri,nangalama,19080316,772069234,86251534,KSD-244691,f
rec-270-org,uga,jacinta,balyejjusa,19851001,774333131,73702624,KUB-470807,
rec-271-org,uga,kate,nansaba,19131013,774639887,78586812,FPL-824530,f
rec-272-org,uga,jai,sekaya,19580421,752618735,57941212,KMC-989401,
rec-273-org,uga,seline,nyakahuma,19661021,772730765,80753185,KSG-783998,f
rec-274-org,uga,zuraika,baramu,19350821,752501598,73902314,KSD-207600,f
rec-275-org,uga,filda,bugosi,19381126,752987268,62560017,FPL-432977,f
rec-276-org,uga,sidonia,aliyanjero,19210116,712444360,18891327,KSD-350714,f
rec-277-org,uga,caitlin,ojilong,19410918,712717427,56442763,KMC-340354,
rec-278-org,uga,jalia,damazo,19350414,752520857,47845381,KSD-263791,f
rec-279-org,uga,tibategyeza,chesang,19510403,752353375,81510970,KLH-439336,f
rec-280-org,uga,fatuma,tibiwa,,772773509,85643435,MBA-168620,f
rec-281-org,uga,rwot,maguru,19330804,712416228,71936779,KLH-426403,f
rec-282-org,uga,sofie,gaston,19661026,752555080,57327918,KSG-840466,f
rec-283-org,uga,jovet,loduk,19110811,712811085,32233222,KLH-144193,f
rec-284-org,uga,ntonde,nambangira,19851013,712268381,31561492,KLH-490352,f
rec-285-org,uga,colostica,ntezimaana,19030611,752223282,73980428,KUB-652886,f
rec-286-org,uga,kaitlin,sanday,19671206,752549147,68276183,KMC-927640,
rec-287-org,uga,kacheri,nkurunziza,19000705,,97429336,KUL-511212,m
rec-288-org,uga,fortinate,gumisiriza,19790412,774264456,24150643,KMC-750474,m
rec-289-org,uga,victoria,apilli,19450705,712813758,43584343,FPL-577439,f
rec-290-org,uga,emiily,kayiwa,19050329,712344173,97496479,KUB-992061,
rec-291-org,uga,kedeth,wangoye,19680402,772642217,61307603,KMC-910270,f
rec-292-org,uga,talyah,okoyo,19980821,752391798,86881966,KLH-318640,
rec-293-org,uga,demie,mbawe,,752517039,97689426,MPK-907915,
rec-294-org,uga,phoebes,gasumuni,19781130,712912945,23018586,MBA-956947,f
rec-295-org,uga,keviina,bagumisa,,752179449,71896234,KUL-780958,f
rec-296-org,uga,zali,bumba,19230605,712766302,68990448,RUK-592276,
rec-297-org,uga,milcah,,19630915,774809904,78867391,KUB-391549,m
rec-298-org,uga,sucess,kibone,19200429,712192715,23777023,KMC-273138,m
rec-299-org,uga,damali,edinyu,19160905,774152342,67276937,KUB-908499,f
rec-300-org,uga,oliver,zainabu,19791213,774937502,70856936,KSD-252322,
rec-301-org,uga,aggrey,kemiyondo,19010701,752874290,14776075,NSU-105351,m
rec-302-org,uga,mary,buyungo,19770329,712307000,68604862,KLH-262722,f
rec-303-org,uga,kyaligonza,kathungu,19290819,712647959,67603803,MPK-395294,f
rec-304-org,uga,agella,rwaminco,,772810013,71856181,NSU-466897,f
rec-305-org,uga,sheila,ibiara,19620606,774668914,86807280,KMC-330860,f
rec-306-org,uga,kunihira,semastian,19050524,772854763,48371791,MBA-287340,f
rec-307-org,uga,kamukama,vangirisita,,774654414,95482434,KUL-486559,f
rec-308-org,uga,sumayah,namurebire,19170927,774055892,16997650,KUL-783135,m
rec-309-org,uga,gorreti,sendagi,19640902,,42961055,KMC-833189,m
rec-310-org,uga,zachary,akur,19181030,752459789,53757339,KSD-711534,
rec-311-org,uga,sophan,ochola,19490118,752425369,15130530,KSG-855898,f
rec-312-org,uga,anah,serinah,19390130,712104110,44406594,KSD-279528,f
rec-313-org,uga,barugahare,tali,19570116,774207763,71117459,KMC-633760,m
rec-314-org,uga,lachlan,ikuma,19661126,772931989,44728246,FPL-454279,
rec-315-org,uga,martha,kirunda,,774001148,79415167,KSG-378218,f
rec-316-org,uga,job,arogai,19760120,772555985,75162361,NSU-165219,m
rec-317-org,uga,tereza,akur,19150404,772896239,86566838,KUB-577758,f
rec-318-org,uga,millian,pulikelia,19010621,774718392,78019203,KSG-760669,m
rec-319-org,uga,davita,baryomunsi,19561112,712894396,65479791,MBA-749401,f
rec-320-org,uga,godson,ojur,19500722,774867938,99404685,MPK-212077,m
rec-321-org,uga,pia,byakare,19390401,772274786,94871402,KUL-552386,f
rec-322-org,uga,muhumuza,bisikwa,19310413,772226273,37387569,KLH-863230,f
rec-323-org,uga,,achau,19400405,752931244,86559455,KSD-727917,f
rec-324-org,uga,ruby,,19121210,752307932,84903299,MBA-536768,
rec-325-org,uga,bena,milkinia,19120905,712932402,62160852,KSD-661114,f
rec-326-org,uga,fausia,munaba,19730130,752256579,78726120,KLH-954330,f
rec-327-org,uga,irene,mwesiga,19641206,712054012,47806043,KUB-318544,f
rec-328-org,uga,rovinah,anguezaru,19791026,774636265,74991643,NSU-267402,f
rec-329-org,uga,alex,dinavence,19050619,,12236204,MBA-975015,
rec-330-org,uga,kwizera,kabole,19100403,782208661,33279899,NSU-178731,f
rec-331-org,uga,zarina,alero,19080802,774537801,19750073,KSD-348224,f
rec-332-org,uga,julieth,sserwaniko,19031103,774776724,34077158,KLH-851129,f
rec-333-org,uga,nteziryayo,ahwera,19280404,774539478,58957683,KUL-233437,m
rec-334-org,uga,farida,alinda,19980805,782574679,99465651,MPK-859137,f
rec-335-org,uga,leopold,draru,19041211,772910184,84740710,KMC-587682,f
rec-336-org,uga,,badarua,19500303,782529631,58588611,KMC-635296,m
rec-337-org,uga,hafisa,amba,19451222,772280680,33937919,KUL-865960,f
rec-338-org,uga,mable,asalu,19060804,752554114,21770467,KSD-530695,f
rec-339-org,uga,lucas,najjembe,19311215,752721476,57728993,MBA-627721,
rec-340-org,uga,kunihira,medard,19920815,782710829,11588461,FPL-121380,f
rec-341-org,uga,mirica,egonu,19100525,712055153,68641660,KSG-240837,f
rec-342-org,uga,twesigye,basebe,19460417,712833733,85434601,MBA-977351,m
rec-343-org,uga,auralia,silivia,19300507,782677258,26021406,RUK-982873,f
rec-344-org,uga,zevedet,mudhago,19441129,782375095,44618012,KUB-409157,m
rec-345-org,uga,ruby,luwedde,19370517,772713572,95090848,NSU-353837,
rec-346-org,uga,josephat,kuruda,19100918,752928143,65418619,KUB-395840,f
rec-347-org,uga,dick,akellio,19501121,774179540,84292118,KLH-473357,m
rec-348-org,uga,immarcqulate,kamatha,19271028,712448187,57734945,KSD-945996,f
rec-349-org,uga,bakaruhire,tibita,19391016,752667554,11636072,KMC-868959,f
rec-350-org,uga,saviour,kabonesa,19950830,782996405,78414964,NSU-841192,f
